"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"229",".","1.High School Dropout",".",".",".",".",2015,0100001,2,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96832,0.81465,0.12341,0.80044,0.32208,0.23566,0.63487,0.07353,0.24232,0.79700,0.32520,0.13125,0.13832,1,0.99948,0.21729,0.16535,0.12179,0.12179,0.00132,0.94804,0.75071,0.95481,0.20434,0.33338,0.13629,0.04599
"230",".","1.High School Dropout",".",".",".",".",2025,0100001,2,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.95606,0.77142,0.11009,0.79221,0.26365,0.30244,0.60173,0.07596,0.26061,0.75225,0.33949,0.18067,0.17460,1,0.99930,0.23934,0.17109,0.15659,0.15659,0.00421,0.94788,0.75832,0.94858,0.21971,0.33610,0.11990,0.03786
"231",".","1.High School Dropout",".",".",".",".",2035,0100001,2,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96173,0.75022,0.09083,0.80110,0.21532,0.30679,0.59294,0.07695,0.26621,0.73361,0.34337,0.18608,0.17727,1,0.99874,0.24812,0.18294,0.15391,0.15391,0.02355,0.94113,0.74433,0.93776,0.25946,0.35199,0.13900,0.03932
"232",".","1.High School Dropout",".",".",".",".",2045,0100001,2,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96029,0.73239,0.07941,0.80286,0.16756,0.26861,0.56781,0.07267,0.26286,0.72166,0.31943,0.16240,0.14989,1,0.99821,0.24796,0.18285,0.12766,0.12766,0.04010,0.94541,0.74390,0.92992,0.30633,0.33273,0.13162,0.05082
"233",".","1.High School Dropout",".",".",".",".",2055,0100001,2,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96018,0.73661,0.05893,0.81943,0.12542,0.27533,0.55604,0.08143,0.26538,0.72029,0.31853,0.17241,0.16305,1,0.99622,0.26000,0.18853,0.14274,0.14274,0.09198,0.94167,0.73940,0.92674,0.33526,0.35019,0.13777,0.04838
"234",".","1.High School Dropout",".",".",".",".",2065,0100001,2,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96299,0.72753,0.05083,0.82025,0.09516,0.27857,0.54900,0.07991,0.27023,0.71350,0.32330,0.17182,0.15901,1,0.99797,0.28365,0.20150,0.13928,0.13928,0.15189,0.94327,0.74461,0.92375,0.34831,0.35258,0.13298,0.05124
"235",".","2.High School Graduate",".",".",".",".",2015,0100001,3,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98871,0.86629,0.02822,0.92679,0.48198,0.33312,0.78128,0.09311,0.16442,0.83271,0.40091,0.22516,0.18339,1,0.99976,0.41877,0.33261,0.20902,0.20902,0.00725,0.93606,0.73943,0.98391,0.35530,0.44743,0.24541,0.07071
"236",".","2.High School Graduate",".",".",".",".",2025,0100001,3,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98918,0.87511,0.02622,0.93261,0.43038,0.35925,0.76755,0.09557,0.17650,0.84127,0.39903,0.24590,0.20013,1,0.99945,0.43854,0.33197,0.23206,0.23206,0.02164,0.92967,0.73443,0.98230,0.40768,0.44565,0.23072,0.06803
"237",".","2.High School Graduate",".",".",".",".",2035,0100001,3,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98998,0.89098,0.02295,0.93175,0.38122,0.32935,0.75133,0.08409,0.17110,0.86640,0.40657,0.22308,0.17717,1,0.99974,0.41481,0.31043,0.20980,0.20980,0.04950,0.93389,0.74208,0.98210,0.47713,0.44690,0.22272,0.06919
"238",".","2.High School Graduate",".",".",".",".",2045,0100001,3,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98959,0.88579,0.01800,0.92791,0.30473,0.33083,0.72153,0.09224,0.18333,0.86142,0.38889,0.23272,0.17846,1,0.99942,0.41969,0.30275,0.22025,0.22025,0.11141,0.93179,0.73656,0.98092,0.47642,0.42860,0.21554,0.06904
"239",".","2.High School Graduate",".",".",".",".",2055,0100001,3,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98911,0.88451,0.01615,0.92383,0.22657,0.34801,0.70089,0.09911,0.18710,0.86165,0.39119,0.24172,0.19158,1,0.99930,0.43770,0.31163,0.22797,0.22797,0.19305,0.93156,0.73635,0.98069,0.47107,0.43407,0.21522,0.07037
"240",".","2.High School Graduate",".",".",".",".",2065,0100001,3,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99059,0.88455,0.01241,0.92586,0.17923,0.34328,0.68788,0.09772,0.18894,0.86383,0.39480,0.24141,0.18726,1,0.99949,0.45392,0.31876,0.22915,0.22915,0.28249,0.93345,0.74115,0.98146,0.49741,0.44567,0.22491,0.07137
"241",".","3.Some College",".",".",".",".",2015,0100001,4,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99898,0.85744,0.01099,0.96837,0.51593,0.49093,0.84696,0.11828,0.14236,0.80917,0.40304,0.37626,0.26836,1,1.00000,0.57932,0.44966,0.34793,0.34793,0.02518,0.90713,0.71777,0.99295,0.34443,0.50589,0.30977,0.08396
"242",".","3.Some College",".",".",".",".",2025,0100001,4,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99903,0.89164,0.00869,0.97489,0.49483,0.48335,0.83760,0.11010,0.14552,0.84543,0.43225,0.36826,0.25251,1,1.00000,0.59319,0.43121,0.35114,0.35114,0.05158,0.91790,0.72599,0.99338,0.48366,0.49308,0.30018,0.08622
"243",".","3.Some College",".",".",".",".",2035,0100001,4,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99878,0.91565,0.00718,0.96983,0.44219,0.39975,0.81972,0.09355,0.15635,0.88500,0.42808,0.30511,0.19745,1,1.00000,0.55242,0.39026,0.29550,0.29550,0.08504,0.92493,0.73319,0.99523,0.57151,0.49037,0.27957,0.08419
"244",".","3.Some College",".",".",".",".",2045,0100001,4,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99864,0.91083,0.00728,0.96399,0.36096,0.38083,0.79294,0.09078,0.16697,0.88369,0.40128,0.28882,0.18746,1,0.99975,0.53004,0.37429,0.27699,0.27699,0.15267,0.92267,0.73178,0.99309,0.58798,0.47270,0.26306,0.07560
