"year","category","catval","percentile","wealth","ss","income"
2015,"age","3",14,1162.77,7679.65,15674.4
2015,"age","3",15,1434.61,8324.27,16165.24
2015,"age","3",16,1716.41,8715.87,16836.57
2015,"age","3",17,1984.28,9082.8,17682.26
2015,"age","3",18,2324.33,9489.39,18309.09
2015,"age","3",19,2668.19,9885.69,19460.55
2015,"age","3",20,3168.03,10276.57,20039.06
2015,"age","3",21,3606.96,10647.6,20624.22
2015,"age","3",22,4079.69,11028.04,21300.86
2015,"age","3",23,4552.77,11438.04,21820.36
2015,"age","3",24,4957.86,11755.37,22358.34
2015,"age","3",25,5360.83,12101.12,22849.35
2015,"age","3",26,5870.37,12464.14,23444.1
2015,"age","3",27,6557.71,12703.34,24091.04
2015,"age","3",28,7057.47,12894.37,24865.94
2015,"age","3",29,7763.29,13245.28,25363.19
2015,"age","3",30,8513.44,13501.2,26024.09
2015,"age","3",31,9267.86,13708.5,26814.88
2015,"age","3",32,10071.58,14052,27533.65
2015,"age","3",33,10764.09,14334.1,28038.33
2015,"age","3",34,11425.97,14590.95,29033.31
2015,"age","3",35,12311.17,14830.07,29580.2
2015,"age","3",36,13040.1,15182.18,30264.45
2015,"age","3",37,13947.3,15420.59,30961.63
2015,"age","3",38,14946.64,15681.41,31514.96
2015,"age","3",39,16524.55,15920.4,32279.26
2015,"age","3",40,17609.94,16152.74,32869.94
2015,"age","3",41,18644.03,16380.7,33703.66
2015,"age","3",42,19951.97,16563.49,34666.39
2015,"age","3",43,21394.61,16723.7,35291.38
2015,"age","3",44,22851.08,16924.52,36174.75
2015,"age","3",45,24289.57,17138.4,37160.61
2015,"age","3",46,26019.49,17335.24,37932.82
2015,"age","3",47,27304.64,17521.66,39076.02
2015,"age","3",48,29259.75,17738.24,39951.78
2015,"age","3",49,31681.86,17970.35,40884.57
2015,"age","3",50,34063.13,18136.31,41756.37
2015,"age","3",51,35754.8,18320.4,42693.51
2015,"age","3",52,37423.04,18518.4,43413.21
2015,"age","3",53,39453.55,18666.8,44055.14
2015,"age","3",54,41651,18858.88,44815.48
2015,"age","3",55,45133.82,19032.79,45767.34
2015,"age","3",56,47629.16,19176,46786.74
2015,"age","3",57,50038.48,19373.77,48279.34
2015,"age","3",58,53300.14,19567.3,48985.07
2015,"age","3",59,56304.52,19726.06,50538.79
2015,"age","3",60,59278.53,20015.92,52147.52
2015,"age","3",61,61696.29,20208.96,53341.73
2015,"age","3",62,66873.84,20465.21,54925.42
2015,"age","3",63,71770.62,20665.91,56065.31
2015,"age","3",64,74958.91,20838.91,57316.06
2015,"age","3",65,78790.26,20986.72,58626.42
2015,"age","3",66,86793.22,21189.47,59957.27
2015,"age","3",67,91301.79,21380.37,61206.5
2015,"age","3",68,95713.92,21645.83,62463.86
2015,"age","3",69,101970.31,21854.4,64010.65
2015,"age","3",70,107520.45,22039.89,65985.02
2015,"age","3",71,115297.6,22289.02,67758.02
2015,"age","3",72,122879.61,22537.17,69502.73
2015,"age","3",73,130439.74,22833.84,71672.02
2015,"age","3",74,142807.95,23045.67,72944.01
2015,"age","3",75,154795.03,23237.04,74962.24
2015,"age","3",76,173122.32,23464.8,77011.51
2015,"age","3",77,189470.02,23661.69,80076.06
2015,"age","3",78,204718.85,23863.18,82291.82
2015,"age","3",79,233088.65,24117.74,85407.58
2015,"age","3",80,256058.93,24246.07,87979.47
2015,"age","3",81,273258.96,24570.19,91598.87
2015,"age","3",82,305809.94,24768.41,95546.74
2015,"age","3",83,342673.1,24986.4,99815.94
2015,"age","3",84,388355.18,25301.22,103884.54
2015,"age","3",85,433256.5,25612.82,108495.19
2015,"age","3",86,473170.46,25911.55,113857.33
2015,"age","3",87,513263,26248.09,118200.88
2015,"age","3",88,549916.22,26544.55,125707.21
2015,"age","3",89,590989.9,26935.51,132348.42
2015,"age","3",90,632443.22,27462.75,140321.38
2015,"age","3",91,724281.31,27987.06,149337.19
2015,"age","3",92,832184.09,28642.01,160930.21
2015,"age","3",93,985189.23,29305.97,172380.08
2015,"age","3",94,1135032.45,29830.53,187372.36
2015,"age","3",95,1355499.01,30602.98,202951.57
2015,"age","3",96,1679207.53,31851.5,226286.35
2015,"age","3",97,2398618.19,33189.77,260423.61
2015,"age","3",98,3242113.48,34857.14,336296.19
2015,"age","3",99,4820325.31,37441.75,427749.27
