"year","category","catval","percentile","wealth","ss","income"
2015,"age","3",40,14371.35,13353.6,27759.4
2015,"age","3",41,15515.62,13473.81,28372.71
2015,"age","3",42,16824.22,13595.41,28928.68
2015,"age","3",43,17864.96,13772.4,29490.45
2015,"age","3",44,18965.33,13923.4,30104.97
2015,"age","3",45,20488.12,14128.29,30533.52
2015,"age","3",46,21553.05,14350.31,31073.96
2015,"age","3",47,23027.21,14564.13,31693.75
2015,"age","3",48,25090.76,14724.48,32571.5
2015,"age","3",49,26298.84,14871.6,33399.33
2015,"age","3",50,27445.07,15047.96,34171.76
2015,"age","3",51,29049.7,15264.83,34892.39
2015,"age","3",52,31498.69,15432.47,35843.04
2015,"age","3",53,32943.86,15608.15,37095.1
2015,"age","3",54,34794.07,15821.55,37819
2015,"age","3",55,36290.28,15972.83,38775.77
2015,"age","3",56,38297.61,16172.82,39666.64
2015,"age","3",57,40368.33,16293.29,40474.94
2015,"age","3",58,42346.83,16430.34,41294.08
2015,"age","3",59,46151.55,16572.8,42078.8
2015,"age","3",60,49021.78,16703.28,42931.98
2015,"age","3",61,52063.13,16854.79,43615.73
2015,"age","3",62,54172.13,17047.71,44340.24
2015,"age","3",63,58101.33,17117.1,45255.53
2015,"age","3",64,62089.31,17289.64,46479.42
2015,"age","3",65,66675.56,17427.89,47619.85
2015,"age","3",66,69934.34,17564.64,48794.29
2015,"age","3",67,74575.06,17698.8,49868.95
2015,"age","3",68,78937.32,17884.37,51049.39
2015,"age","3",69,83570.59,18084.84,52294.14
2015,"age","3",70,89976.84,18248.53,53564.89
2015,"age","3",71,95145.15,18359.12,55344.16
2015,"age","3",72,102300.98,18557.4,57406.51
2015,"age","3",73,111627.45,18688.87,58960.26
2015,"age","3",74,123675.86,18898.68,60716.25
2015,"age","3",75,133955.3,19100.56,62035.62
2015,"age","3",76,142517.8,19307.64,63874.16
2015,"age","3",77,154142.35,19567.2,65985.02
2015,"age","3",78,173122.32,19737.6,68185.4
2015,"age","3",79,182795.29,19946.9,70690.18
2015,"age","3",80,198456.16,20252.4,73281.88
2015,"age","3",81,227989.2,20500.57,75462.58
2015,"age","3",82,262754.47,20760.45,78858.88
2015,"age","3",83,288123.67,20931.6,81472.89
2015,"age","3",84,312119.57,21168.38,85050.96
2015,"age","3",85,337638.89,21408.15,88900.78
2015,"age","3",86,366731.02,21698.6,93052.61
2015,"age","3",87,397127.63,22024.03,97772.13
2015,"age","3",88,437220.66,22282.8,102697.46
2015,"age","3",89,492091.51,22607.85,108246.75
2015,"age","3",90,547657.04,23034.91,113877.16
2015,"age","3",91,595832.58,23434.99,120601.32
2015,"age","3",92,657574.92,23843.16,129934.9
2015,"age","3",93,753767.63,24270.06,140624.23
2015,"age","3",94,985731.46,24785.13,153781.77
2015,"age","3",95,1110770.53,25308.12,164801.69
2015,"age","3",96,1459994.54,26039.68,188247.67
2015,"age","3",97,1865051.26,26715.31,221419.97
2015,"age","3",98,2520776,27697.2,264834.11
2015,"age","3",99,3704951.92,30691.47,334496.02
2015,"age","3",100,20402161.56,52907.84,1637830.87
2015,"age","4",1,-1431.62,0,-68.24
2015,"age","4",2,-1082.45,0,2487.85
2015,"age","4",3,-867.62,0,5777
2015,"age","4",4,-689.51,0,7194.57
2015,"age","4",5,-453.73,0,8583.53
2015,"age","4",6,-85.13,0,8918.36
2015,"age","4",7,-8.47,0,9298.89
2015,"age","4",8,0,2425.79,9845.87
2015,"age","4",9,6.55,4170.1,10760.78
2015,"age","4",10,64.75,4909.7,11115.79
2015,"age","4",11,188.97,5764.85,11838.37
2015,"age","4",12,406.79,6224.44,12555.25
2015,"age","4",13,789.91,6713.4,12959.4
2015,"age","4",14,1135.09,7059.69,13365.17
2015,"age","4",15,1376.15,7482.13,13908.57
2015,"age","4",16,1746.58,7897.2,14685.08
2015,"age","4",17,1976.75,8219.64,15373.63
2015,"age","4",18,2387.2,8560.67,15941.44
2015,"age","4",19,2726.75,8870.43,16663.78
2015,"age","4",20,3167.56,9117.79,17330.06
2015,"age","4",21,3991.75,9452.63,18126.43
2015,"age","4",22,4484.88,9703.67,18786.45
2015,"age","4",23,5009.83,9969.22,19272.78
2015,"age","4",24,5684.42,10157.84,19811.34
2015,"age","4",25,6191.71,10394.64,20340.53
2015,"age","4",26,6552.38,10591.57,20864.59
2015,"age","4",27,7124.17,10762.25,21729.67
2015,"age","4",28,7469.62,10935,22037.05
2015,"age","4",29,7953.27,11149.38,22452.32
2015,"age","4",30,8698.54,11313.1,22956.13
2015,"age","4",31,9547.77,11534.71,23501.89
2015,"age","4",32,10326.57,11823.66,24151.64
2015,"age","4",33,11088.05,11998.48,24651.71
2015,"age","4",34,11935.55,12213.63,25036.94
2015,"age","4",35,12923.36,12448.26,25458.2
2015,"age","4",36,13654.35,12575.34,26125.1
2015,"age","4",37,14402.24,12710.61,26586.64
2015,"age","4",38,15607.18,12841.68,27198.47
2015,"age","4",39,16775.96,13054.8,27747.56
2015,"age","4",40,17911.66,13188.47,28461.77
2015,"age","4",41,19414.5,13299.6,28756.86
2015,"age","4",42,20755.87,13449.74,29338.71
2015,"age","4",43,22103.82,13652.87,29933.67
2015,"age","4",44,24146.33,13768.34,30439.52
2015,"age","4",45,25277.96,13923.39,30947.66
2015,"age","4",46,26770.17,14061.66,31626.77
2015,"age","4",47,27778.55,14187.6,32225.9
2015,"age","4",48,29989.34,14289.66,32855.09
2015,"age","4",49,32469.11,14438.4,33590.79
2015,"age","4",50,34432.03,14638.25,34537.09
2015,"age","4",51,37049.14,14767.07,35417.86
2015,"age","4",52,39060.85,14874.14,36357.01
2015,"age","4",53,40865.56,15033.39,36982.96
2015,"age","4",54,42809.67,15184.8,37776.86
2015,"age","4",55,45113.48,15333.12,38526.47
2015,"age","4",56,48330.38,15486,39210.47
2015,"age","4",57,51269.28,15584.94,40186.38
2015,"age","4",58,54690.54,15716.05,41074
2015,"age","4",59,60242.65,15812.72,41942.23
2015,"age","4",60,63946.66,15938.51,42812.72
2015,"age","4",61,68285.49,16089.88,43372.42
2015,"age","4",62,71377.2,16197.42,44229.98
2015,"age","4",63,74347.9,16301.24,45550.15
2015,"age","4",64,78080.75,16471.41,46686.05
2015,"age","4",65,81936.71,16642.89,48538.03
2015,"age","4",66,86681.92,16825.01,49730.1
2015,"age","4",67,91214.69,16926.46,51015.39
2015,"age","4",68,97103.03,17044.27,52587.97
2015,"age","4",69,102036.92,17177.68,53960.51
2015,"age","4",70,110363.2,17399.25,55138.03
2015,"age","4",71,118224.95,17528.64,55925.17
2015,"age","4",72,126873.28,17655.71,57458.02
2015,"age","4",73,138541.39,17830.8,58904.77
2015,"age","4",74,147761.42,18032.4,60847.4
2015,"age","4",75,164793.67,18188.4,62108.36
2015,"age","4",76,173981.05,18315.26,64701.08
2015,"age","4",77,188377.29,18464.4,66163.71
2015,"age","4",78,206385.21,18715.67,67995.03
2015,"age","4",79,222583.42,18868.8,69301.6
2015,"age","4",80,233417.79,19018.34,71034.94
2015,"age","4",81,257260.55,19161.9,73059.89
2015,"age","4",82,280213.12,19402.88,75624.75
2015,"age","4",83,300985.6,19621.2,79138.37
2015,"age","4",84,326256.24,19895.49,82926.45
2015,"age","4",85,348212.61,20116.37,86379.88
2015,"age","4",86,378154.72,20436,90294.21
2015,"age","4",87,406783.27,20643.65,95625.55
2015,"age","4",88,447555.11,20870.16,100346.22
2015,"age","4",89,492990.33,21079.3,105581.39
2015,"age","4",90,552753.9,21375.6,112063.11
2015,"age","4",91,617891.98,21640.9,117991.75
2015,"age","4",92,710290.44,21914.03,133564.53
2015,"age","4",93,858613.7,22159.2,148474.49
2015,"age","4",94,1009359.63,22698.3,165274.02
2015,"age","4",95,1343172.32,23733.89,183877.3
2015,"age","4",96,1607348.36,24813.36,204938.47
2015,"age","4",97,2000315.26,25701.31,247511.39
2015,"age","4",98,2434324.42,27034.88,287105.42
2015,"age","4",99,3065511.42,30388.25,366185.29
2015,"age","4",100,19320855.77,61475.4,2393278.08
2015,"age","5",1,-4872.92,0,387.99
2015,"age","5",2,-1675.2,0,4767.88
2015,"age","5",3,-966.48,0,6548.19
2015,"age","5",4,-700.71,0,7511.15
2015,"age","5",5,-347.49,0,8324.56
2015,"age","5",6,-13.34,0,8915.48
2015,"age","5",7,0,585.32,9278.01
2015,"age","5",8,0,3149.4,9746.29
2015,"age","5",9,0,4167.36,10334.86
